price,propertyType,size,rooms,bathrooms,municipality,latitude,longitude,status,priceByArea,hasParkingSpace,isParkingSpaceIncludedInPrice,typology,subtitle,floor,exterior,hasLift
390000.0,flat,98.0,2,2,getafe,40.3179911,-3.700932,newdevelopment,3980.0,1,1,flat,los molinos,flat,1,1
401000.0,flat,105.0,3,2,getafe,40.3179911,-3.700932,newdevelopment,3819.0,1,1,flat,los molinos,flat,1,1
377000.0,flat,94.0,2,2,getafe,40.3179911,-3.700932,newdevelopment,4011.0,1,1,flat,los molinos,flat,1,1
333000.0,flat,132.0,3,2,alcalá de henares,40.50157,-3.34737,newdevelopment,2523.0,0,0,flat,el pilar - bripac,flat,1,1
369000.0,chalet,220.0,4,3,parla,40.2401824,-3.7567498,good,1677.0,1,1,chalet,pintores-ferial,alto,1,0
131500.0,flat,86.0,3,1,alcalá de henares,40.476051,-3.3883485,good,1529.0,0,0,flat,reyes católicos,bajo,1,0
356618.0,flat,88.0,2,1,getafe,40.3022106,-3.7332137,newdevelopment,4052.0,0,0,flat,san isidro,mediano,1,1
289811.0,flat,80.0,2,1,getafe,40.3022106,-3.7332137,newdevelopment,3623.0,0,0,flat,san isidro,intermedio,1,1
413631.0,flat,116.0,3,2,getafe,40.3022106,-3.7332137,newdevelopment,3566.0,0,0,flat,san isidro,intermedio,1,1
396517.0,flat,123.0,3,2,getafe,40.3022106,-3.7332137,newdevelopment,3224.0,0,0,flat,san isidro,intermedio,1,1
441889.0,flat,138.0,4,3,getafe,40.3022106,-3.7332137,newdevelopment,3202.0,0,0,flat,san isidro,intermedio,1,1
407044.0,flat,130.0,3,2,getafe,40.3022106,-3.7332137,newdevelopment,3131.0,0,0,flat,san isidro,intermedio,1,1
544011.0,flat,181.0,4,3,getafe,40.3022106,-3.7332137,newdevelopment,3006.0,0,0,flat,san isidro,intermedio,1,1
451819.0,flat,123.0,3,2,getafe,40.3022106,-3.7332137,newdevelopment,3673.0,0,0,flat,san isidro,intermedio,1,1
245000.0,flat,49.0,1,1,madrid,40.4196271,-3.6989051,good,5000.0,0,0,flat,chueca-justicia,bajo,1,0
240000.0,chalet,95.0,3,2,colmenar viejo,40.6611936,-3.7673665,good,2526.0,0,0,chalet,centro,alto,1,0
210000.0,chalet,165.0,3,1,becerril de la sierra,40.7165633,-3.9920033,renew,1273.0,0,0,chalet,becerril de la sierra,alto,1,0
375000.0,flat,66.0,1,1,madrid,40.4125645,-3.7100825,good,5682.0,0,0,flat,palacio,intermedio,1,1
254000.0,chalet,180.0,3,3,valdemorillo,40.4993108,-4.0586746,good,1411.0,1,1,chalet,valdemorillo pueblo,alto,1,0
285000.0,flat,60.0,1,2,madrid,40.4570633,-3.645549,good,4750.0,1,1,flat,canillas,intermedio,1,1
346800.0,chalet,178.0,4,2,navalcarnero,40.2873536,-4.0134453,renew,1948.0,1,1,chalet,centro,alto,1,0
249800.0,duplex,52.0,2,1,leganés,40.3287096,-3.7631991,newdevelopment,4804.0,1,1,flat,casco antiguo,flat,1,1
480000.0,flat,91.0,2,2,las rozas de madrid,40.4918586,-3.8775799,newdevelopment,5275.0,1,1,flat,casco antiguo,intermedio,1,1
399000.0,chalet,132.0,4,3,soto del real,40.7554358,-3.7918815,good,3023.0,1,1,chalet,soto del real,alto,1,0
56900.0,duplex,54.0,1,1,camarma de esteruelas,40.5512843,-3.3773369,good,1054.0,0,0,flat,camarma de esteruelas,intermedio,1,0
118000.0,flat,50.0,2,1,madrid,40.4033274,-3.745391,good,2360.0,0,0,flat,lucero,bajo,1,0
129000.0,flat,69.0,2,1,fuenlabrada,40.2898797,-3.7993659,good,1870.0,0,0,flat,la serna,bajo,1,0
101000.0,flat,72.0,3,1,madrid,40.3428618,-3.7147736,good,1403.0,0,0,flat,villaverde alto,bajo,1,0
215000.0,flat,92.0,3,1,madrid,40.45964,-3.7017903,good,2337.0,0,0,flat,berruguete,bajo,1,0
68500.0,flat,21.0,1,1,madrid,40.3879215,-3.6504497,good,3262.0,0,0,flat,portazgo,bajo,1,0
121000.0,flat,84.0,3,1,madrid,40.384716,-3.6717899,good,1440.0,0,0,flat,entrevías,bajo,1,0
435000.0,chalet,136.0,3,1,getafe,40.303134,-3.7337304,good,3199.0,0,0,chalet,san isidro,alto,1,0
103000.0,flat,90.0,3,1,madrid,40.3674243,-3.7156137,good,1144.0,0,0,flat,orcasitas,bajo,1,0
260000.0,flat,49.0,1,1,madrid,40.4417482,-3.6745721,good,5306.0,0,0,flat,prosperidad,intermedio,1,0
255000.0,flat,73.0,1,1,madrid,40.3993933,-3.7076588,good,3493.0,0,0,flat,acacias,bajo,1,1
194000.0,flat,100.0,3,2,madrid,40.3916956,-3.6389475,good,1940.0,0,0,flat,palomeras sureste,intermedio,1,1
152500.0,flat,61.0,1,1,madrid,40.3909463,-3.6621089,good,2500.0,0,0,flat,palomeras bajas,flat,0,0
149000.0,flat,77.0,1,1,madrid,40.392652,-3.6640143,good,1935.0,0,0,flat,palomeras bajas,intermedio,0,0
83000.0,flat,89.0,3,1,aranjuez,40.0268798,-3.6174,good,933.0,0,0,flat,vergel-las olivas,intermedio,1,0
344000.0,flat,54.0,1,1,madrid,40.4537959,-3.7084923,good,6370.0,0,0,flat,bellas vistas,intermedio,1,1
341000.0,chalet,153.0,4,3,getafe,40.2909552,-3.7464635,good,2229.0,1,1,chalet,sector 3,alto,1,0
90000.0,flat,69.0,2,1,madrid,40.3866898,-3.6516894,good,1304.0,0,0,flat,portazgo,bajo,1,0
320000.0,chalet,255.0,3,1,parla,40.2236131,-3.7788246,good,1255.0,0,0,chalet,fuentebella-san felix-el leguario,alto,1,0
140000.0,flat,69.0,2,1,madrid,40.394944,-3.6683998,good,2029.0,0,0,flat,san diego,bajo,1,0
174000.0,chalet,124.0,3,1,el álamo,40.227209,-3.9828425,good,1403.0,0,0,chalet,el álamo,alto,1,0
340000.0,chalet,200.0,5,2,guadarrama,40.6656629,-4.0576762,renew,1700.0,1,1,chalet,guadarrama,alto,1,0
175000.0,chalet,173.0,3,1,pelayos de la presa,40.3584112,-4.3288795,good,1012.0,0,0,chalet,pelayos de la presa,alto,1,0
174000.0,flat,134.0,3,1,móstoles,40.3208059,-3.8533842,good,1299.0,0,0,flat,este,mediano,1,1
112000.0,flat,81.0,3,1,madrid,40.3992777,-3.7386913,good,1383.0,0,0,flat,los cármenes,intermedio,1,0
258000.0,flat,130.0,3,2,fuenlabrada,40.2959375,-3.8363098,good,1985.0,0,0,flat,loranca,mediano,1,1
78000.0,flat,81.0,3,1,madrid,40.3449069,-3.6880447,renew,963.0,0,0,flat,san cristóbal,intermedio,1,0
155000.0,flat,48.0,2,1,madrid,40.386676,-3.7067679,good,3229.0,0,0,flat,moscardó,intermedio,1,0
454500.0,flat,82.0,2,2,las rozas de madrid,40.5183875,-3.8965925,newdevelopment,5543.0,1,1,flat,parque empresarial,intermedio,1,1
415600.0,flat,78.0,2,2,las rozas de madrid,40.5183875,-3.8965925,newdevelopment,5328.0,1,1,flat,parque empresarial,intermedio,1,1
